교통사고 당사자 번호,이름,성별,생년월일,면허유무,부상/사망 여부,음주 여부,사고직전 속도,대전시 사고 관리 번호,교통사고 날짜,교통사고 종류
1,황지민,여,1986.12.7,유,유,유,부상,음주운전,2022.8.2,94,2022H48,2022H48
2,황주원,남,1960.5.21,유,유,무,부상,중앙선 침범,2022.3.27,115,2022H48,2022C86
3,곽서진,남,1961.3.20,유,유,유,부상,음주운전,2022.12.18,92,2022H48,2022L23
4,육하은,여,1976.10.3,유,유,무,사망,신호위반,2022.12.3,132,2022H48,2022L73
5,조선우,남,1987.12.24,유,유,무,부상,중앙선 침범,2022.1.28,103,2022H48,2022A2
6,정지후,여,1980.11.20,유,유,무,부상,과속,2022.12.11,128,2022H48,2022L2
7,육지후,남,1972.3.23,유,유,무,부상,중앙선 침범,2022.6.30,116,2022H48,2022F23
8,곽민준,남,1981.2.12,유,유,무,부상,중앙선 침범,2022.2.29,115,2022H48,2022B67
9,장지후,여,1985.12.3,유,유,유,부상,음주운전,2022.1.4,110,2022H48,2022A95
10,정예준,남,1963.8.1,유,유,무,부상,중앙선 침범,2022.12.5,120,2022H48,2022L41
11,노지호,남,2001.1.22,유,유,무,사망,과속,2022.4.21,136,2022H48,2022D13
12,성채원,여,1973.11.7,유,유,무,부상,중앙선 침범,2022.5.5,118,2022H48,2022Z53
13,노도윤,여,1976.4.7,유,유,무,사망,과속,2022.5.25,97,2022H48,2022Z15
14,유지우,남,1961.2.25,유,유,무,부상,중앙선 침범,2022.11.24,96,2022H48,2022K10
15,장민서,남,1997.9.8,유,유,무,부상,중앙선 침범,2022.4.17,114,2022H48,2022D29
16,이채원,여,1985.12.27,유,유,무,사망,신호위반,2022.4.31,105,2022H48,2022D62
17,곽준서,남,1986.7.1,유,유,무,부상,중앙선 침범,2022.6.11,95,2022H48,2022F93
18,김윤서,남,1993.9.14,유,유,무,부상,중앙선 침범,2022.9.16,123,2022H48,2022I93
19,황지민,여,2002.4.10,유,유,무,부상,중앙선 침범,2022.1.22,96,2022H48,2022A68
20,육도윤,남,1965.6.8,유,유,무,부상,중앙선 침범,2022.7.28,120,2022H48,2022G59
21,곽채은,여,1984.3.19,유,유,무,부상,중앙선 침범,2022.6.10,92,2022H48,2022F91
22,정지후,여,1989.5.19,유,유,유,부상,음주운전,2022.1.5,112,2022H48,2022A94
23,성시우,여,1998.11.14,유,유,유,부상,음주운전,2022.6.2,113,2022H48,2022F90
24,곽연우,남,1984.8.18,유,유,무,부상,신호위반,2022.12.30,121,2022H48,2022L91
25,성서연,남,1971.8.23,유,유,무,사망,과속,2022.8.10,93,2022H48,2022H6
26,김주호,여,1999.1.12,유,유,유,부상,음주운전,2022.10.14,103,2022H48,2022J20
27,조지후,여,1961.11.28,유,유,유,부상,음주운전,2022.3.24,96,2022H48,2022C43
28,한주원,여,1977.4.28,유,유,유,부상,음주운전,2022.10.17,114,2022H48,2022J70
29,성주호,여,1998.7.5,유,유,무,부상,중앙선 침범,2022.3.27,91,2022H48,2022C45
30,박주원,여,1987.12.1,유,유,무,부상,과속,2022.8.13,108,2022H48,2022H70
31,김지민,남,2001.6.26,유,유,무,사망,과속,2022.12.28,136,2022H48,2022L46
32,김서연,남,1984.12.25,유,유,무,부상,과속,2022.11.8,123,2022H48,2022K83
33,박하윤,여,1988.7.28,유,유,무,사망,신호위반,2022.4.22,134,2022H48,2022D41
34,이하은,남,1977.11.12,유,유,유,부상,음주운전,2022.5.3,124,2022H48,2022Z85
35,정채원,남,1989.12.26,유,유,유,사망,음주운전,2022.6.24,136,2022H48,2022F22
36,곽준우,여,1991.10.31,유,유,무,부상,과속,2022.12.7,112,2022H48,2022L86
37,노도윤,여,1974.8.16,유,유,무,부상,중앙선 침범,2022.12.30,120,2022H48,2022L13
38,한지유,남,1993.11.30,유,유,유,부상,음주운전,2022.4.23,98,2022H48,2022D79
39,박시우,여,1963.2.5,유,유,무,부상,과속,2022.12.27,102,2022H48,2022L9
