교통사고 당사자 번호,이름,성별,생년월일,면허유무,안전벨트 유무,음주 여부,부상/사망 여부,교통사고 종류,교통사고 날짜,사고직전 속도,사고 발생지,대전시 사고 관리 번호
1,곽민서,남,1970.6.26,유,유,무,부상,중앙선 침범,2022.2.10,124,서구 월평동,2022B61
2,유서연,여,1967.2.29,유,유,무,부상,신호위반,2022.5.9,86,대덕구 석봉동,2022Z29
3,정시우,남,1989.7.10,유,유,무,부상,음주운전,2022.4.28,116,동구 신인동,2022D72
4,정채은,여,1994.3.31,유,유,무,부상,음주운전,2022.10.26,103,대덕구 오정동,2022J31
5,박지유,남,1990.4.2,유,유,무,사망,음주운전,2022.5.20,101,대덕구 회덕동,2022Z21
6,성하은,여,1998.1.15,유,유,무,부상,과속,2022.3.25,125,유성구 전민동,2022C94
7,최하윤,남,1974.8.10,유,유,무,부상,중앙선 침범,2022.1.29,96,동구 삼성동,2022A2
8,조민서,남,1960.5.11,유,유,무,부상,음주운전,2022.6.24,102,동구 효동,2022F5
9,김하윤,여,1978.10.25,유,유,무,부상,과속,2022.9.16,88,유성구 전민동,2022I76
10,이윤서,여,1977.12.29,유,유,무,부상,과속,2022.1.18,83,중구 은행선화동,2022A90
11,성서현,남,1970.11.10,유,유,무,부상,중앙선 침범,2022.11.29,110,유성구 진잠동,2022K47
12,성지민,여,1972.9.2,유,유,무,부상,중앙선 침범,2022.8.14,107,중구 은행선화동,2022H23
13,곽예준,남,1996.11.24,유,유,무,부상,신호위반,2022.6.26,83,대덕구 회덕동,2022F61
14,김민서,여,1975.12.20,유,유,무,부상,음주운전,2022.7.2,87,유성구 전민동,2022G28
15,박지안,여,1973.12.25,유,유,무,부상,음주운전,2022.4.2,88,중구 목동,2022D66
16,이민서,남,1972.4.9,유,유,무,부상,과속,2022.4.9,89,대덕구 석봉동,2022D60
17,이윤서,남,1990.2.24,유,유,무,부상,중앙선 침범,2022.12.18,118,유성구 전민동,2022L61
18,조지원,여,1973.4.19,유,유,무,부상,중앙선 침범,2022.3.16,94,유성구 신성동,2022C46
19,노하준,여,1961.8.16,유,유,무,부상,과속,2022.12.17,89,서구 도마동,2022L52
20,유지후,남,1976.4.31,유,유,무,사망,과속,2022.6.3,124,동구 용운동,2022F16
21,이지호,여,1967.7.26,유,유,무,부상,음주운전,2022.6.17,105,중구 목동,2022F46
22,장지우,남,1963.9.10,유,유,무,부상,신호위반,2022.11.27,80,대덕구 오정동,2022K23
23,유서연,남,1974.6.23,유,유,무,부상,과속,2022.9.25,80,유성구 신성동,2022I55
24,유지우,남,1987.11.15,유,유,무,부상,음주운전,2022.7.22,112,대덕구 석봉동,2022G93
25,최선우,남,1971.12.13,유,유,무,사망,신호위반,2022.8.31,97,대덕구 오정동,2022H75
26,한수정,남,1988.10.9,유,유,무,부상,음주운전,2022.10.30,86,대덕구 송촌동,2022J21
27,황지호,남,1963.1.5,유,유,무,부상,중앙선 침범,2022.8.24,94,중구 목동,2022H99
28,곽지민,여,1987.7.21,유,유,무,부상,과속,2022.11.23,80,대덕구 석봉동,2022K37
29,육서현,남,1961.6.12,유,유,무,부상,음주운전,2022.1.13,82,동구 신인동,2022A77
30,곽수정,남,1996.7.7,유,유,무,부상,중앙선 침범,2022.5.30,120,서구 둔상동,2022Z71
31,한지유,남,1980.6.25,유,유,무,부상,과속,2022.3.15,89,동구 효동,2022C71
32,한지안,여,1987.2.13,유,유,무,부상,신호위반,2022.11.9,105,동구 용운동,2022K1
33,장도윤,여,1966.2.27,유,유,유,부상,음주운전,2022.11.11,123,유성구 관평동,2022K44
34,최지민,여,1962.8.15,유,유,유,부상,음주운전,2022.12.17,95,서구 갈마동,2022L92
35,유시우,남,1967.6.2,유,유,유,사망,음주운전,2022.5.28,92,유성구 관평동,2022Z96
36,노시우,여,1992.4.30,유,유,무,사망,과속,2022.10.14,113,서구 둔상동,2022J65
37,조하윤,남,1982.10.18,유,유,유,부상,음주운전,2022.1.13,90,동구 신인동,2022A30
38,최윤서,남,1961.5.31,유,유,무,부상,음주운전,2022.2.23,111,동구 용운동,2022B88
39,유서진,여,1968.8.20,유,유,무,부상,중앙선 침범,2022.5.30,92,서구 월평동,2022Z73
40,성윤서,남,1995.2.5,유,유,무,부상,신호위반,2022.8.29,80,서구 만년동,2022H60
41,김시우,여,1997.1.30,유,유,무,부상,중앙선 침범,2022.4.12,125,유성구 전민동,2022D3
42,노서준,여,1999.10.12,유,유,무,부상,신호위반,2022.11.13,102,유성구 관평동,2022K75
43,황준서,여,1987.6.8,유,유,무,사망,음주운전,2022.5.22,111,서구 둔상동,2022Z34
44,조하준,여,1987.5.13,유,유,무,부상,과속,2022.4.7,102,대덕구 회덕동,2022D71
45,정주원,여,1986.11.6,유,유,무,부상,음주운전,2022.7.11,96,동구 효동,2022G61
46,황서연,남,2000.3.17,유,유,무,사망,음주운전,2022.10.30,123,동구 신인동,2022J61
47,성수정,남,1988.8.10,유,유,무,부상,과속,2022.11.17,92,대덕구 오정동,2022K92
48,김하윤,여,1984.6.31,유,유,무,부상,음주운전,2022.1.21,123,유성구 관평동,2022A64
49,조윤서,남,1994.11.16,유,유,무,부상,신호위반,2022.6.21,107,유성구 노은동,2022F37
50,유지안,여,1961.12.2,유,유,무,부상,과속,2022.3.20,95,유성구 진잠동,2022C25
51,장지민,남,1985.7.15,유,유,무,부상,음주운전,2022.3.28,128,동구 신인동,2022C54
52,육서윤,여,1986.10.19,유,유,유,부상,음주운전,2022.8.9,100,대덕구 송촌동,2022H38
53,곽예준,여,1960.7.29,유,유,유,부상,음주운전,2022.4.8,102,중구 목동,2022D54
54,정시우,남,1967.6.30,유,유,무,부상,중앙선 침범,2022.9.28,94,서구 도마동,2022I68
